transaction_id,user_id,approved_at,merchant_name,amount,category,subcategory,payment_method,status,is_recurring
C03202510020,U1003,2025-10-05T09:01:00,Breakfast House,6398,food,fastfood,credit_card,approved,false
C02202510018,U1002,2025-10-05T13:22:00,Office Meal,9606,food,fastfood,credit_card,approved,false
C05202510040,U1005,2025-10-05T13:47:00,Brunch Atelier,18837,food,dining,credit_card,approved,false
C03202510011,U1003,2025-10-05T18:27:00,Green Market,20941,food,groceries,credit_card,approved,false
C07202510033,U1007,2025-10-05T18:28:00,Local Market,23205,food,groceries,credit_card,approved,false
C03202510009,U1003,2025-10-05T18:53:00,Green Market,13951,food,groceries,credit_card,approved,false
C06202510036,U1006,2025-10-05T19:10:00,Electro Mart,78858,shopping,electronics,credit_card,approved,false
C04202510015,U1004,2025-10-05T20:21:00,Steak House,47575,food,dining,credit_card,approved,false
C02202510047,U1002,2025-10-05T20:29:00,Style Shop,82450,shopping,fashion,credit_card,approved,false
C07202510022,U1007,2025-10-06T08:52:00,Cafe Lane,5532,food,cafe,credit_card,approved,false
C02202510016,U1002,2025-10-06T09:03:00,Cafe Nova,9719,food,cafe,credit_card,approved,false
C04202510009,U1004,2025-10-06T15:56:00,Department Store,54022,shopping,fashion,credit_card,approved,false
C04202510037,U1004,2025-10-06T19:04:00,Steak House,122414,food,dining,credit_card,approved,false
C07202510036,U1007,2025-10-06T19:12:00,Book Mart,20948,shopping,book,credit_card,approved,false
C05202510006,U1005,2025-10-06T19:46:00,Photo Lab,54391,leisure,hobby,credit_card,approved,false
C05202510009,U1005,2025-10-06T19:49:00,DeliveryX,26871,food,delivery,credit_card,approved,false
C01202510043,U1001,2025-10-07T08:18:00,Cafe A,5518,food,cafe,credit_card,approved,false
C03202510030,U1003,2025-10-07T09:49:00,Breakfast House,6652,food,fastfood,credit_card,approved,false
C04202510045,U1004,2025-10-07T10:08:00,Kid Academy,180000,education,academy,credit_card,approved,false
C08202510023,U1008,2025-10-07T12:21:00,Coupang,79667,shopping,ecommerce,credit_card,approved,false
C07202510027,U1007,2025-10-07T17:02:00,Book Mart,11962,shopping,book,credit_card,approved,false
C01202510015,U1001,2025-10-07T19:27:00,Baedal,26272,food,delivery,credit_card,approved,false
C04202510034,U1004,2025-10-07T19:30:00,Steak House,127693,food,dining,credit_card,approved,false
C08202510062,U1008,2025-10-07T21:04:00,Bar 45,70122,leisure,bar,credit_card,approved,false
C04202510018,U1004,2025-10-07T21:14:00,Cinema Box,28063,leisure,movie,credit_card,approved,false
C08202510028,U1008,2025-10-07T21:31:00,Night Delivery,21247,food,delivery,credit_card,approved,false
C08202510041,U1008,2025-10-07T22:40:00,Taxi Go,23494,transport,taxi,credit_card,approved,false
C01202510038,U1001,2025-10-07T23:57:00,GS25 Gangnam,9555,food,convenience_store,credit_card,approved,false
C04202510010,U1004,2025-10-08T08:01:00,Cafe Lane,5724,food,cafe,credit_card,approved,false
C03202510021,U1003,2025-10-08T08:55:00,Bus Fare,1789,transport,public_transit,credit_card,approved,false
C06202510008,U1006,2025-10-08T08:55:00,Office Cafe,6101,food,cafe,credit_card,approved,false
C06202510026,U1006,2025-10-08T08:56:00,Fuel Max,48007,transport,fuel,credit_card,approved,false
C08202510057,U1008,2025-10-08T12:09:00,Coupang,61816,shopping,ecommerce,credit_card,approved,false
C07202510023,U1007,2025-10-08T18:15:00,Local Market,14132,food,groceries,credit_card,approved,false
C02202510029,U1002,2025-10-08T19:40:00,DeliveryX,16618,food,delivery,credit_card,approved,false
C07202510029,U1007,2025-10-08T19:48:00,DeliveryY,23570,food,delivery,credit_card,approved,false
C08202510048,U1008,2025-10-08T20:22:00,Coupang,72339,shopping,ecommerce,credit_card,approved,false
C08202510042,U1008,2025-10-08T21:07:00,Night Delivery,18463,food,delivery,credit_card,approved,false
C08202510015,U1008,2025-10-08T22:31:00,Taxi Go,24330,transport,taxi,credit_card,approved,false
C05202510022,U1005,2025-10-09T09:03:00,Cafe Nova,7703,food,cafe,credit_card,approved,false
C02202510021,U1002,2025-10-09T09:29:00,Cafe Nova,8407,food,cafe,credit_card,approved,false
C08202510001,U1008,2025-10-09T10:11:00,Office Cafe,4704,food,cafe,credit_card,approved,false
C08202510046,U1008,2025-10-09T10:19:00,Office Cafe,6193,food,cafe,credit_card,approved,false
C05202510025,U1005,2025-10-09T15:01:00,Cafe Nova,5663,food,cafe,credit_card,approved,false
C02202510020,U1002,2025-10-09T18:42:00,Market One,20156,food,groceries,credit_card,approved,false
C02202510034,U1002,2025-10-09T19:22:00,DeliveryX,18368,food,delivery,credit_card,approved,false
C08202510061,U1008,2025-10-09T23:13:00,Convenience Hub,10438,food,convenience_store,credit_card,approved,false
C08202510031,U1008,2025-10-10T07:40:00,Premium Gym,79000,health,fitness,credit_card,approved,false
C06202510028,U1006,2025-10-10T08:21:00,Fuel Max,60827,transport,fuel,credit_card,approved,false
C04202510022,U1004,2025-10-10T08:53:00,Fuel Max,65226,transport,fuel,credit_card,approved,false
C07202510038,U1007,2025-10-10T12:01:00,School Lunch,7367,food,fastfood,credit_card,approved,false
C01202510034,U1001,2025-10-10T13:29:00,Coupang,86343,shopping,ecommerce,credit_card,approved,false
C04202510007,U1004,2025-10-10T15:26:00,Cafe Lane,8666,food,cafe,credit_card,approved,false
C07202510024,U1007,2025-10-10T19:02:00,DeliveryY,24462,food,delivery,credit_card,approved,false
C01202510012,U1001,2025-10-10T21:17:00,Coupang,51417,shopping,ecommerce,credit_card,approved,false
C08202510004,U1008,2025-10-10T23:16:00,Convenience Hub,5668,food,convenience_store,credit_card,approved,false
C06202510043,U1006,2025-10-11T08:14:00,Office Cafe,5359,food,cafe,credit_card,approved,false
C01202510026,U1001,2025-10-11T08:17:00,Cafe A,5237,food,cafe,credit_card,approved,false
C01202510022,U1001,2025-10-11T08:28:00,MegaCafe,3181,food,cafe,credit_card,approved,false
C08202510008,U1008,2025-10-11T08:32:00,Convenience Hub,6612,food,convenience_store,credit_card,approved,false
C05202510027,U1005,2025-10-11T09:00:00,Cafe Nova,6399,food,cafe,credit_card,approved,false
C06202510010,U1006,2025-10-11T09:48:00,Office Cafe,3299,food,cafe,credit_card,approved,false
C08202510020,U1008,2025-10-11T10:59:00,Office Cafe,4071,food,cafe,credit_card,approved,false
C02202510026,U1002,2025-10-11T12:41:00,Office Meal,7880,food,fastfood,credit_card,approved,false
C07202510004,U1007,2025-10-11T12:43:00,School Lunch,7463,food,fastfood,credit_card,approved,false
C03202510012,U1003,2025-10-11T18:35:00,Book Mart,15936,shopping,book,credit_card,approved,false
C03202510001,U1003,2025-10-11T18:38:00,Green Market,15608,food,groceries,credit_card,approved,false
C02202510050,U1002,2025-10-11T18:49:00,Market One,25133,food,groceries,credit_card,approved,false
C04202510012,U1004,2025-10-11T18:50:00,Family Mart,19455,food,groceries,credit_card,approved,false
C05202510038,U1005,2025-10-11T19:19:00,Photo Lab,32248,leisure,hobby,credit_card,approved,false
C02202510038,U1002,2025-10-11T19:23:00,DeliveryX,18802,food,delivery,credit_card,approved,false
C01202510047,U1001,2025-10-11T19:29:00,OliveYoung,20691,shopping,health_beauty,credit_card,approved,false
C07202510011,U1007,2025-10-11T19:40:00,Local Market,21537,food,groceries,credit_card,approved,false
C01202510024,U1001,2025-10-11T19:44:00,OliveYoung,20689,shopping,health_beauty,credit_card,approved,false
C08202510011,U1008,2025-10-11T21:03:00,Bar 45,59110,leisure,bar,credit_card,approved,false
C04202510046,U1004,2025-10-11T21:41:00,Cinema Box,21335,leisure,movie,credit_card,approved,false
C08202510043,U1008,2025-10-11T23:38:00,Taxi Go,11471,transport,taxi,credit_card,approved,false
C08202510059,U1008,2025-10-11T23:53:00,Night Delivery,30202,food,delivery,credit_card,approved,false
C01202510044,U1001,2025-10-11T23:57:00,GS25 Gangnam,4983,food,convenience_store,credit_card,approved,false
C06202510014,U1006,2025-10-12T07:26:00,Fuel Max,77810,transport,fuel,credit_card,approved,false
C01202510036,U1001,2025-10-12T07:43:00,Cafe A,5184,food,cafe,credit_card,approved,false
C08202510013,U1008,2025-10-12T08:23:00,Office Cafe,4268,food,cafe,credit_card,approved,false
C06202510015,U1006,2025-10-12T08:25:00,Office Cafe,5811,food,cafe,credit_card,approved,false
C01202510021,U1001,2025-10-12T08:36:00,MegaCafe,2591,food,cafe,credit_card,approved,false
C06202510016,U1006,2025-10-12T08:42:00,Fuel Max,52707,transport,fuel,credit_card,approved,false
C06202510002,U1006,2025-10-12T09:49:00,Office Cafe,6219,food,cafe,credit_card,approved,false
C01202510028,U1001,2025-10-12T09:53:00,Cafe A,5653,food,cafe,credit_card,approved,false
C03202510017,U1003,2025-10-12T10:40:00,Campus Cafe,5892,food,cafe,credit_card,approved,false
C06202510045,U1006,2025-10-12T12:17:00,Coupang,71946,shopping,ecommerce,credit_card,approved,false
C07202510031,U1007,2025-10-12T12:32:00,School Lunch,9424,food,fastfood,credit_card,approved,false
C08202510010,U1008,2025-10-12T12:41:00,Coupang,53637,shopping,ecommerce,credit_card,approved,false
C07202510019,U1007,2025-10-12T13:45:00,School Lunch,9395,food,fastfood,credit_card,approved,false
C05202510030,U1005,2025-10-12T16:12:00,Style Shop,54300,shopping,fashion,credit_card,approved,false
C05202510029,U1005,2025-10-12T18:42:00,Canvas Market,21636,shopping,living,credit_card,approved,false
C04202510024,U1004,2025-10-12T19:30:00,Family Mart,45609,food,groceries,credit_card,approved,false
C08202510019,U1008,2025-10-12T23:09:00,Convenience Hub,6858,food,convenience_store,credit_card,approved,false
C08202510050,U1008,2025-10-12T23:29:00,Bar 45,65688,leisure,bar,credit_card,approved,false
C04202510033,U1004,2025-10-13T08:00:00,Cafe Lane,7043,food,cafe,credit_card,approved,false
C05202510043,U1005,2025-10-13T11:05:00,Brunch Atelier,31013,food,dining,credit_card,approved,false
C05202510037,U1005,2025-10-13T13:49:00,Brunch Atelier,24538,food,dining,credit_card,approved,false
C07202510035,U1007,2025-10-13T13:54:00,School Lunch,9394,food,fastfood,credit_card,approved,false
C03202510034,U1003,2025-10-13T19:30:00,DeliveryY,17297,food,delivery,credit_card,approved,false
C02202510011,U1002,2025-10-13T20:38:00,Style Shop,54588,shopping,fashion,credit_card,approved,false
C01202510014,U1001,2025-10-13T20:52:00,Baedal,31641,food,delivery,credit_card,approved,false
C08202510063,U1008,2025-10-13T21:07:00,Night Delivery,19059,food,delivery,credit_card,approved,false
C04202510004,U1004,2025-10-13T21:14:00,Cinema Box,30243,leisure,movie,credit_card,approved,false
C08202510044,U1008,2025-10-13T22:04:00,Taxi Go,11124,transport,taxi,credit_card,approved,false
C01202510013,U1001,2025-10-14T07:02:00,Cafe A,6789,food,cafe,credit_card,approved,false
C01202510007,U1001,2025-10-14T07:43:00,Cafe A,4826,food,cafe,credit_card,approved,false
C08202510054,U1008,2025-10-14T08:19:00,Convenience Hub,3337,food,convenience_store,credit_card,approved,false
C07202510037,U1007,2025-10-14T12:23:00,School Lunch,7468,food,fastfood,credit_card,approved,false
C06202510007,U1006,2025-10-14T12:38:00,Coupang,57575,shopping,ecommerce,credit_card,approved,false
C08202510009,U1008,2025-10-14T20:05:00,Coupang,66614,shopping,ecommerce,credit_card,approved,false
C04202510021,U1004,2025-10-14T20:26:00,Steak House,79228,food,dining,credit_card,approved,false
C06202510022,U1006,2025-10-14T21:16:00,Electro Mart,167876,shopping,electronics,credit_card,approved,false
C02202510049,U1002,2025-10-14T22:25:00,Taxi Go,16394,transport,taxi,credit_card,approved,false
C01202510006,U1001,2025-10-15T07:55:00,Cafe A,5503,food,cafe,credit_card,approved,false
C02202510001,U1002,2025-10-15T09:11:00,Cafe Nova,7251,food,cafe,credit_card,approved,false
C07202510003,U1007,2025-10-15T12:17:00,School Lunch,9079,food,fastfood,credit_card,approved,false
C01202510033,U1001,2025-10-15T12:28:00,Subway,9936,food,fastfood,credit_card,approved,false
C07202510025,U1007,2025-10-15T12:51:00,School Lunch,7679,food,fastfood,credit_card,approved,false
C04202510001,U1004,2025-10-15T19:02:00,Family Mart,46770,food,groceries,credit_card,approved,false
C04202510040,U1004,2025-10-15T19:14:00,Family Mart,22206,food,groceries,credit_card,approved,false
C04202510029,U1004,2025-10-15T19:33:00,Steak House,102313,food,dining,credit_card,approved,false
C04202510027,U1004,2025-10-15T20:10:00,Steak House,114173,food,dining,credit_card,approved,false
C01202510002,U1001,2025-10-15T21:00:00,Coupang,76931,shopping,ecommerce,credit_card,approved,false
C07202510002,U1007,2025-10-15T21:49:00,DeliveryY,14344,food,delivery,credit_card,approved,false
C05202510007,U1005,2025-10-15T22:58:00,DeliveryX,18826,food,delivery,credit_card,approved,false
C06202510032,U1006,2025-10-16T07:10:00,Fuel Max,53029,transport,fuel,credit_card,approved,false
C01202510046,U1001,2025-10-16T08:09:00,Cafe A,6998,food,cafe,credit_card,approved,false
C03202510010,U1003,2025-10-16T08:16:00,Breakfast House,8564,food,fastfood,credit_card,approved,false
C06202510024,U1006,2025-10-16T08:21:00,Office Cafe,4847,food,cafe,credit_card,approved,false
C02202510003,U1002,2025-10-16T08:38:00,Cafe Nova,9405,food,cafe,credit_card,approved,false
C08202510034,U1008,2025-10-16T09:47:00,Office Cafe,6596,food,cafe,credit_card,approved,false
C02202510025,U1002,2025-10-16T13:34:00,Office Meal,10312,food,fastfood,credit_card,approved,false
C02202510028,U1002,2025-10-16T13:47:00,Office Meal,8931,food,fastfood,credit_card,approved,false
C05202510012,U1005,2025-10-16T20:59:00,Style Shop,96116,shopping,fashion,credit_card,approved,false
C04202510002,U1004,2025-10-17T07:07:00,Gym Pro,69000,health,fitness,credit_card,approved,false
C01202510017,U1001,2025-10-17T08:01:00,MegaCafe,3580,food,cafe,credit_card,approved,false
C08202510029,U1008,2025-10-17T08:15:00,Office Cafe,4885,food,cafe,credit_card,approved,false
C02202510037,U1002,2025-10-17T08:20:00,Cafe Nova,7910,food,cafe,credit_card,approved,false
C04202510041,U1004,2025-10-17T08:25:00,Fuel Max,88678,transport,fuel,credit_card,approved,false
C07202510026,U1007,2025-10-17T08:31:00,Cafe Lane,5422,food,cafe,credit_card,approved,false
C01202510008,U1001,2025-10-17T08:38:00,MegaCafe,4562,food,cafe,credit_card,approved,false
C05202510014,U1005,2025-10-17T10:07:00,Cafe Nova,5844,food,cafe,credit_card,approved,false
C03202510023,U1003,2025-10-17T12:35:00,Green Market,21754,food,groceries,credit_card,approved,false
C05202510031,U1005,2025-10-17T13:20:00,Brunch Atelier,25067,food,dining,credit_card,approved,false
C07202510040,U1007,2025-10-17T19:21:00,DeliveryY,22442,food,delivery,credit_card,approved,false
C04202510043,U1004,2025-10-17T19:51:00,Steak House,126667,food,dining,credit_card,approved,false
C01202510048,U1001,2025-10-17T20:55:00,Baedal,22017,food,delivery,credit_card,approved,false
C02202510035,U1002,2025-10-17T20:58:00,DeliveryX,17281,food,delivery,credit_card,approved,false
C07202510014,U1007,2025-10-17T21:31:00,DeliveryY,24959,food,delivery,credit_card,approved,false
C08202510032,U1008,2025-10-17T22:26:00,Taxi Go,18360,transport,taxi,credit_card,approved,false
C08202510058,U1008,2025-10-17T23:44:00,Night Delivery,32092,food,delivery,credit_card,approved,false
C08202510006,U1008,2025-10-17T23:55:00,Taxi Go,14342,transport,taxi,credit_card,approved,false
C03202510033,U1003,2025-10-18T08:22:00,Bus Fare,1721,transport,public_transit,credit_card,approved,false
C03202510026,U1003,2025-10-18T08:46:00,Bus Fare,1419,transport,public_transit,credit_card,approved,false
C08202510002,U1008,2025-10-18T08:52:00,Office Cafe,6066,food,cafe,credit_card,approved,false
C06202510012,U1006,2025-10-18T09:53:00,Office Cafe,5062,food,cafe,credit_card,approved,false
C03202510003,U1003,2025-10-18T10:05:00,Campus Cafe,3421,food,cafe,credit_card,approved,false
C07202510041,U1007,2025-10-18T13:29:00,School Lunch,8256,food,fastfood,credit_card,approved,false
C01202510003,U1001,2025-10-18T18:27:00,OliveYoung,14999,shopping,health_beauty,credit_card,approved,false
C04202510019,U1004,2025-10-18T18:43:00,Family Mart,22840,food,groceries,credit_card,approved,false
C04202510036,U1004,2025-10-18T19:08:00,Steak House,113907,food,dining,credit_card,approved,false
C07202510028,U1007,2025-10-18T19:40:00,Book Mart,15741,shopping,book,credit_card,approved,false
C05202510036,U1005,2025-10-18T20:10:00,Style Shop,73744,shopping,fashion,credit_card,approved,false
C05202510017,U1005,2025-10-18T22:05:00,DeliveryX,18489,food,delivery,credit_card,approved,false
C01202510030,U1001,2025-10-19T09:03:00,Cafe A,4506,food,cafe,credit_card,approved,false
C02202510014,U1002,2025-10-19T09:11:00,Cafe Nova,7993,food,cafe,credit_card,approved,false
C05202510039,U1005,2025-10-19T09:11:00,Cafe Nova,7978,food,cafe,credit_card,approved,false
C02202510042,U1002,2025-10-19T11:22:00,Market One,22001,food,groceries,credit_card,approved,false
C06202510049,U1006,2025-10-19T12:25:00,Coupang,71495,shopping,ecommerce,credit_card,approved,false
C02202510002,U1002,2025-10-19T17:29:00,Home Depot,27276,shopping,home,credit_card,approved,false
C07202510030,U1007,2025-10-19T19:05:00,Local Market,17084,food,groceries,credit_card,approved,false
C07202510021,U1007,2025-10-19T19:08:00,Book Mart,19408,shopping,book,credit_card,approved,false
C01202510010,U1001,2025-10-19T19:24:00,OliveYoung,28431,shopping,health_beauty,credit_card,approved,false
C03202510016,U1003,2025-10-19T19:26:00,Design Store,30175,shopping,fashion,credit_card,approved,false
C05202510020,U1005,2025-10-19T20:27:00,Cabin Hotel,184649,travel,hotel,credit_card,approved,false
C07202510010,U1007,2025-10-19T21:36:00,DeliveryY,20712,food,delivery,credit_card,approved,false
C01202510040,U1001,2025-10-20T08:31:00,MegaCafe,3954,food,cafe,credit_card,approved,false
C05202510002,U1005,2025-10-20T10:36:00,Cafe Nova,5926,food,cafe,credit_card,approved,false
C02202510040,U1002,2025-10-20T11:44:00,Market One,10199,food,groceries,credit_card,approved,false
C01202510050,U1001,2025-10-20T12:45:00,Subway,7960,food,fastfood,credit_card,approved,false
C02202510015,U1002,2025-10-20T18:21:00,Market One,26518,food,groceries,credit_card,approved,false
C03202510028,U1003,2025-10-20T18:35:00,Book Mart,13570,shopping,book,credit_card,approved,false
C07202510012,U1007,2025-10-20T18:39:00,Local Market,12305,food,groceries,credit_card,approved,false
C03202510014,U1003,2025-10-20T18:52:00,Book Mart,9442,shopping,book,credit_card,approved,false
C07202510039,U1007,2025-10-20T19:08:00,Local Market,16746,food,groceries,credit_card,approved,false
C07202510018,U1007,2025-10-20T19:46:00,Local Market,18233,food,groceries,credit_card,approved,false
C04202510020,U1004,2025-10-20T20:20:00,Department Store,55503,shopping,fashion,credit_card,approved,false
C06202510047,U1006,2025-10-21T08:22:00,Office Cafe,4762,food,cafe,credit_card,approved,false
C04202510031,U1004,2025-10-21T08:27:00,Fuel Max,75928,transport,fuel,credit_card,approved,false
C06202510051,U1006,2025-10-21T08:29:00,Office Cafe,5537,food,cafe,credit_card,approved,false
C05202510004,U1005,2025-10-21T09:27:00,Cafe Nova,8797,food,cafe,credit_card,approved,false
C06202510029,U1006,2025-10-21T09:55:00,Office Cafe,6139,food,cafe,credit_card,approved,false
C02202510022,U1002,2025-10-21T12:20:00,Office Meal,11251,food,fastfood,credit_card,approved,false
C02202510045,U1002,2025-10-21T13:10:00,Office Meal,9515,food,fastfood,credit_card,approved,false
C05202510005,U1005,2025-10-21T14:43:00,Canvas Market,30210,shopping,living,credit_card,approved,false
C02202510027,U1002,2025-10-21T18:55:00,Market One,14453,food,groceries,credit_card,approved,false
C07202510016,U1007,2025-10-21T19:15:00,Local Market,20587,food,groceries,credit_card,approved,false
C08202510018,U1008,2025-10-21T20:00:00,Streaming Co,17000,subscription,ott,credit_card,approved,true
C08202510012,U1008,2025-10-21T23:28:00,Night Delivery,31810,food,delivery,credit_card,approved,false
C06202510039,U1006,2025-10-22T07:10:00,Fuel Max,64187,transport,fuel,credit_card,approved,false
C02202510039,U1002,2025-10-22T08:42:00,Cafe Nova,5693,food,cafe,credit_card,approved,false
C02202510017,U1002,2025-10-22T09:07:00,Cafe Nova,7248,food,cafe,credit_card,approved,false
C02202510005,U1002,2025-10-22T09:11:00,Cafe Nova,5230,food,cafe,credit_card,approved,false
C01202510023,U1001,2025-10-22T12:31:00,Subway,7966,food,fastfood,credit_card,approved,false
C06202510048,U1006,2025-10-22T12:46:00,Coupang,50664,shopping,ecommerce,credit_card,approved,false
C06202510040,U1006,2025-10-22T13:15:00,Subway,9682,food,fastfood,credit_card,approved,false
C03202510031,U1003,2025-10-22T15:27:00,Campus Cafe,3461,food,cafe,credit_card,approved,false
C03202510013,U1003,2025-10-22T18:36:00,Green Market,12797,food,groceries,credit_card,approved,false
C05202510032,U1005,2025-10-22T19:33:00,DeliveryX,25990,food,delivery,credit_card,approved,false
C08202510030,U1008,2025-10-22T20:18:00,Coupang,20433,shopping,ecommerce,credit_card,approved,false
C03202510029,U1003,2025-10-22T20:28:00,DeliveryY,18481,food,delivery,credit_card,approved,false
C01202510004,U1001,2025-10-22T20:59:00,Netflix,17000,subscription,ott,credit_card,approved,true
C08202510007,U1008,2025-10-22T23:37:00,Taxi Go,12468,transport,taxi,credit_card,approved,false
C01202510016,U1001,2025-10-23T09:46:00,Cafe A,4257,food,cafe,credit_card,approved,false
C02202510024,U1002,2025-10-23T11:21:00,Market One,18751,food,groceries,credit_card,approved,false
C06202510013,U1006,2025-10-23T13:50:00,Subway,9732,food,fastfood,credit_card,approved,false
C07202510008,U1007,2025-10-23T16:36:00,Cafe Lane,6558,food,cafe,credit_card,approved,false
C02202510041,U1002,2025-10-23T18:40:00,Market One,20739,food,groceries,credit_card,approved,false
C05202510016,U1005,2025-10-23T19:13:00,DeliveryX,23098,food,delivery,credit_card,approved,false
C05202510023,U1005,2025-10-23T19:14:00,DeliveryX,25684,food,delivery,credit_card,approved,false
C06202510025,U1006,2025-10-23T20:09:00,DeliveryX,16526,food,delivery,credit_card,approved,false
C02202510012,U1002,2025-10-23T20:16:00,Style Shop,69788,shopping,fashion,credit_card,approved,false
C04202510047,U1004,2025-10-23T20:17:00,Steak House,118338,food,dining,credit_card,approved,false
C04202510014,U1004,2025-10-23T20:29:00,Steak House,81598,food,dining,credit_card,approved,false
C02202510004,U1002,2025-10-23T20:57:00,DeliveryX,16437,food,delivery,credit_card,approved,false
C04202510023,U1004,2025-10-23T20:58:00,Cinema Box,33664,leisure,movie,credit_card,approved,false
