transaction_id,user_id,transacted_at,type,counterparty,amount,category,subcategory,balance_after
A01202512002,U1001,2025-12-25T09:00:00,in,Office Worker,3200000,income,salary,7915772
A04202512002,U1004,2025-12-25T09:00:00,in,Manager,5100000,income,salary,12991079
A05202512001,U1005,2025-12-25T09:00:00,in,Designer,3500000,income,salary,6559170
A06202512002,U1006,2025-12-25T09:00:00,in,Engineer,4300000,income,salary,9271074
A07202512001,U1007,2025-12-25T09:00:00,in,Teacher,3000000,income,salary,6524334
A08202512001,U1008,2025-12-25T09:00:00,in,Startup Operator,3900000,income,salary,7610336
A02202512002,U1002,2025-12-25T09:10:00,out,Home Owner,700000,fixed_cost,rent,5564790
A01202512003,U1001,2025-12-26T09:10:00,out,Home Owner,850000,fixed_cost,rent,7065772
A04202512003,U1004,2025-12-26T09:10:00,out,Home Owner,0,fixed_cost,rent,12991079
A05202512002,U1005,2025-12-26T09:10:00,out,Home Owner,930000,fixed_cost,rent,5629170
A06202512003,U1006,2025-12-26T09:10:00,out,Home Owner,1100000,fixed_cost,rent,8171074
A07202512002,U1007,2025-12-26T09:10:00,out,Home Owner,780000,fixed_cost,rent,5744334
A08202512002,U1008,2025-12-26T09:10:00,out,Home Owner,990000,fixed_cost,rent,6620336
A02202512003,U1002,2025-12-26T10:10:00,out,Mobile Carrier,50000,fixed_cost,telecom,5514790
A02202512004,U1002,2025-12-27T08:40:00,out,Utility Office,32000,fixed_cost,utility,5482790
A01202512004,U1001,2025-12-27T10:10:00,out,Mobile Carrier,65000,fixed_cost,telecom,7000772
A04202512004,U1004,2025-12-27T10:10:00,out,Mobile Carrier,89000,fixed_cost,telecom,12902079
A05202512003,U1005,2025-12-27T10:10:00,out,Mobile Carrier,62000,fixed_cost,telecom,5567170
A06202512004,U1006,2025-12-27T10:10:00,out,Mobile Carrier,59000,fixed_cost,telecom,8112074
A07202512003,U1007,2025-12-27T10:10:00,out,Mobile Carrier,54000,fixed_cost,telecom,5690334
A08202512003,U1008,2025-12-27T10:10:00,out,Mobile Carrier,61000,fixed_cost,telecom,6559336
A01202512005,U1001,2025-12-28T08:40:00,out,Utility Office,42000,fixed_cost,utility,6958772
A04202512005,U1004,2025-12-28T08:40:00,out,Utility Office,71000,fixed_cost,utility,12831079
A05202512004,U1005,2025-12-28T08:40:00,out,Utility Office,44000,fixed_cost,utility,5523170
A06202512005,U1006,2025-12-28T08:40:00,out,Utility Office,51000,fixed_cost,utility,8061074
A07202512004,U1007,2025-12-28T08:40:00,out,Utility Office,36000,fixed_cost,utility,5654334
A08202512004,U1008,2025-12-28T08:40:00,out,Utility Office,47000,fixed_cost,utility,6512336
A02202512005,U1002,2025-12-28T09:20:00,out,Insurance Co,48000,fixed_cost,insurance,5434790
A04202512006,U1004,2025-12-29T09:20:00,out,Insurance Co,220000,fixed_cost,insurance,12611079
A05202512005,U1005,2025-12-29T09:20:00,out,Insurance Co,71000,fixed_cost,insurance,5452170
A06202512006,U1006,2025-12-29T09:20:00,out,Insurance Co,96000,fixed_cost,insurance,7965074
A07202512005,U1007,2025-12-29T09:20:00,out,Insurance Co,58000,fixed_cost,insurance,5596334
A01202512006,U1001,2025-12-31T09:05:00,out,Main Card,1097910,card_bill,card_payment,5860862
A02202512006,U1002,2025-12-31T09:05:00,out,Main Card,783885,card_bill,card_payment,4650905
A03202512005,U1003,2025-12-31T09:05:00,out,Main Card,576121,card_bill,card_payment,3526020
A04202512007,U1004,2025-12-31T09:05:00,out,Main Card,2974080,card_bill,card_payment,9636999
A05202512006,U1005,2025-12-31T09:05:00,out,Main Card,1395680,card_bill,card_payment,4056490
A06202512007,U1006,2025-12-31T09:05:00,out,Main Card,1537251,card_bill,card_payment,6427823
A07202512006,U1007,2025-12-31T09:05:00,out,Main Card,991181,card_bill,card_payment,4605153
A08202512005,U1008,2025-12-31T09:05:00,out,Main Card,1450544,card_bill,card_payment,5061792
A03202601001,U1003,2026-01-10T13:20:00,in,Additional Income,400000,income,scholarship,3926020
A08202601001,U1008,2026-01-15T13:20:00,in,Additional Income,420000,income,side_project,5481792
A03202601002,U1003,2026-01-20T09:00:00,in,Student,2200000,income,salary,6126020
A03202601003,U1003,2026-01-21T09:10:00,out,Home Owner,600000,fixed_cost,rent,5526020
A03202601004,U1003,2026-01-22T10:10:00,out,Mobile Carrier,45000,fixed_cost,telecom,5481020
A03202601005,U1003,2026-01-23T08:40:00,out,Utility Office,29000,fixed_cost,utility,5452020
A02202601001,U1002,2026-01-24T09:00:00,in,Freelancer,2800000,income,salary,7450905
A01202601001,U1001,2026-01-25T09:00:00,in,Office Worker,3200000,income,salary,9060862
A04202601001,U1004,2026-01-25T09:00:00,in,Manager,5100000,income,salary,14736999
A05202601001,U1005,2026-01-25T09:00:00,in,Designer,3500000,income,salary,7556490
A06202601001,U1006,2026-01-25T09:00:00,in,Engineer,4300000,income,salary,10727823
A07202601001,U1007,2026-01-25T09:00:00,in,Teacher,3000000,income,salary,7605153
A08202601002,U1008,2026-01-25T09:00:00,in,Startup Operator,3900000,income,salary,9381792
A02202601002,U1002,2026-01-25T09:10:00,out,Home Owner,700000,fixed_cost,rent,6750905
A01202601002,U1001,2026-01-26T09:10:00,out,Home Owner,850000,fixed_cost,rent,8210862
A04202601002,U1004,2026-01-26T09:10:00,out,Home Owner,0,fixed_cost,rent,14736999
A05202601002,U1005,2026-01-26T09:10:00,out,Home Owner,930000,fixed_cost,rent,6626490
A06202601002,U1006,2026-01-26T09:10:00,out,Home Owner,1100000,fixed_cost,rent,9627823
A07202601002,U1007,2026-01-26T09:10:00,out,Home Owner,780000,fixed_cost,rent,6825153
A08202601003,U1008,2026-01-26T09:10:00,out,Home Owner,990000,fixed_cost,rent,8391792
A02202601003,U1002,2026-01-26T10:10:00,out,Mobile Carrier,50000,fixed_cost,telecom,6700905
A02202601004,U1002,2026-01-27T08:40:00,out,Utility Office,32000,fixed_cost,utility,6668905
A01202601003,U1001,2026-01-27T10:10:00,out,Mobile Carrier,65000,fixed_cost,telecom,8145862
A04202601003,U1004,2026-01-27T10:10:00,out,Mobile Carrier,89000,fixed_cost,telecom,14647999
A05202601003,U1005,2026-01-27T10:10:00,out,Mobile Carrier,62000,fixed_cost,telecom,6564490
A06202601003,U1006,2026-01-27T10:10:00,out,Mobile Carrier,59000,fixed_cost,telecom,9568823
A07202601003,U1007,2026-01-27T10:10:00,out,Mobile Carrier,54000,fixed_cost,telecom,6771153
A08202601004,U1008,2026-01-27T10:10:00,out,Mobile Carrier,61000,fixed_cost,telecom,8330792
A01202601004,U1001,2026-01-28T08:40:00,out,Utility Office,42000,fixed_cost,utility,8103862
A04202601004,U1004,2026-01-28T08:40:00,out,Utility Office,71000,fixed_cost,utility,14576999
A05202601004,U1005,2026-01-28T08:40:00,out,Utility Office,44000,fixed_cost,utility,6520490
A06202601004,U1006,2026-01-28T08:40:00,out,Utility Office,51000,fixed_cost,utility,9517823
A07202601004,U1007,2026-01-28T08:40:00,out,Utility Office,36000,fixed_cost,utility,6735153
A08202601005,U1008,2026-01-28T08:40:00,out,Utility Office,47000,fixed_cost,utility,8283792
A02202601005,U1002,2026-01-28T09:20:00,out,Insurance Co,48000,fixed_cost,insurance,6620905
A04202601005,U1004,2026-01-29T09:20:00,out,Insurance Co,220000,fixed_cost,insurance,14356999
A05202601005,U1005,2026-01-29T09:20:00,out,Insurance Co,71000,fixed_cost,insurance,6449490
A06202601005,U1006,2026-01-29T09:20:00,out,Insurance Co,96000,fixed_cost,insurance,9421823
A07202601005,U1007,2026-01-29T09:20:00,out,Insurance Co,58000,fixed_cost,insurance,6677153
A01202601005,U1001,2026-01-31T09:05:00,out,Main Card,195500,card_bill,card_payment,7908362
A02202601006,U1002,2026-01-31T09:05:00,out,Main Card,948419,card_bill,card_payment,5672486
A03202601006,U1003,2026-01-31T09:05:00,out,Main Card,498729,card_bill,card_payment,4953291
A04202601006,U1004,2026-01-31T09:05:00,out,Main Card,2408938,card_bill,card_payment,11948061
A05202601006,U1005,2026-01-31T09:05:00,out,Main Card,1986888,card_bill,card_payment,4462602
A06202601006,U1006,2026-01-31T09:05:00,out,Main Card,1829636,card_bill,card_payment,7592187
A07202601006,U1007,2026-01-31T09:05:00,out,Main Card,671760,card_bill,card_payment,6005393
A08202601006,U1008,2026-01-31T09:05:00,out,Main Card,1250272,card_bill,card_payment,7033520
A02202602001,U1002,2026-02-14T13:20:00,in,Additional Income,650000,income,project_income,6322486
A07202602001,U1007,2026-02-15T13:20:00,in,Additional Income,280000,income,private_tutoring,6285393
A03202602001,U1003,2026-02-20T09:00:00,in,Student,2200000,income,salary,7153291
A03202602002,U1003,2026-02-21T09:10:00,out,Home Owner,600000,fixed_cost,rent,6553291
A03202602003,U1003,2026-02-22T10:10:00,out,Mobile Carrier,45000,fixed_cost,telecom,6508291
A03202602004,U1003,2026-02-23T08:40:00,out,Utility Office,29000,fixed_cost,utility,6479291
A02202602002,U1002,2026-02-24T09:00:00,in,Freelancer,2800000,income,salary,9122486
A01202602001,U1001,2026-02-25T09:00:00,in,Office Worker,3200000,income,salary,11108362
A04202602001,U1004,2026-02-25T09:00:00,in,Manager,5100000,income,salary,17048061
A05202602001,U1005,2026-02-25T09:00:00,in,Designer,3500000,income,salary,7962602
A06202602001,U1006,2026-02-25T09:00:00,in,Engineer,4300000,income,salary,11892187
A07202602002,U1007,2026-02-25T09:00:00,in,Teacher,3000000,income,salary,9285393
A08202602001,U1008,2026-02-25T09:00:00,in,Startup Operator,3900000,income,salary,10933520
A02202602003,U1002,2026-02-25T09:10:00,out,Home Owner,700000,fixed_cost,rent,8422486
A01202602002,U1001,2026-02-26T09:10:00,out,Home Owner,850000,fixed_cost,rent,10258362
A04202602002,U1004,2026-02-26T09:10:00,out,Home Owner,0,fixed_cost,rent,17048061
A05202602002,U1005,2026-02-26T09:10:00,out,Home Owner,930000,fixed_cost,rent,7032602
A06202602002,U1006,2026-02-26T09:10:00,out,Home Owner,1100000,fixed_cost,rent,10792187
A07202602003,U1007,2026-02-26T09:10:00,out,Home Owner,780000,fixed_cost,rent,8505393
A08202602002,U1008,2026-02-26T09:10:00,out,Home Owner,990000,fixed_cost,rent,9943520
A02202602004,U1002,2026-02-26T10:10:00,out,Mobile Carrier,50000,fixed_cost,telecom,8372486
A02202602005,U1002,2026-02-27T08:40:00,out,Utility Office,32000,fixed_cost,utility,8340486
A01202602003,U1001,2026-02-27T10:10:00,out,Mobile Carrier,65000,fixed_cost,telecom,10193362
A04202602003,U1004,2026-02-27T10:10:00,out,Mobile Carrier,89000,fixed_cost,telecom,16959061
A05202602003,U1005,2026-02-27T10:10:00,out,Mobile Carrier,62000,fixed_cost,telecom,6970602
A06202602003,U1006,2026-02-27T10:10:00,out,Mobile Carrier,59000,fixed_cost,telecom,10733187
A07202602004,U1007,2026-02-27T10:10:00,out,Mobile Carrier,54000,fixed_cost,telecom,8451393
A08202602003,U1008,2026-02-27T10:10:00,out,Mobile Carrier,61000,fixed_cost,telecom,9882520
A01202602004,U1001,2026-02-28T08:40:00,out,Utility Office,42000,fixed_cost,utility,10151362
A04202602004,U1004,2026-02-28T08:40:00,out,Utility Office,71000,fixed_cost,utility,16888061
A05202602004,U1005,2026-02-28T08:40:00,out,Utility Office,44000,fixed_cost,utility,6926602
A06202602004,U1006,2026-02-28T08:40:00,out,Utility Office,51000,fixed_cost,utility,10682187
A07202602005,U1007,2026-02-28T08:40:00,out,Utility Office,36000,fixed_cost,utility,8415393
A08202602004,U1008,2026-02-28T08:40:00,out,Utility Office,47000,fixed_cost,utility,9835520
A01202602005,U1001,2026-02-28T09:05:00,out,Main Card,1135300,card_bill,card_payment,9016062
A02202602006,U1002,2026-02-28T09:05:00,out,Main Card,808528,card_bill,card_payment,7531958
A03202602005,U1003,2026-02-28T09:05:00,out,Main Card,454695,card_bill,card_payment,6024596
A04202602005,U1004,2026-02-28T09:05:00,out,Main Card,4223920,card_bill,card_payment,12664141
A05202602005,U1005,2026-02-28T09:05:00,out,Main Card,1691453,card_bill,card_payment,5235149
A06202602005,U1006,2026-02-28T09:05:00,out,Main Card,1498026,card_bill,card_payment,9184161
A07202602006,U1007,2026-02-28T09:05:00,out,Main Card,846758,card_bill,card_payment,7568635
A08202602005,U1008,2026-02-28T09:05:00,out,Main Card,2109041,card_bill,card_payment,7726479
A02202602007,U1002,2026-02-28T09:20:00,out,Insurance Co,48000,fixed_cost,insurance,7483958
A04202602006,U1004,2026-02-28T09:20:00,out,Insurance Co,220000,fixed_cost,insurance,12444141
A05202602006,U1005,2026-02-28T09:20:00,out,Insurance Co,71000,fixed_cost,insurance,5164149
A06202602006,U1006,2026-02-28T09:20:00,out,Insurance Co,96000,fixed_cost,insurance,9088161
A07202602007,U1007,2026-02-28T09:20:00,out,Insurance Co,58000,fixed_cost,insurance,7510635
A05202603001,U1005,2026-03-15T13:20:00,in,Additional Income,370000,income,freelance_income,5534149
A03202603001,U1003,2026-03-20T09:00:00,in,Student,2200000,income,salary,8224596
A03202603002,U1003,2026-03-21T09:10:00,out,Home Owner,600000,fixed_cost,rent,7624596
A03202603003,U1003,2026-03-22T10:10:00,out,Mobile Carrier,45000,fixed_cost,telecom,7579596
A03202603004,U1003,2026-03-23T08:40:00,out,Utility Office,29000,fixed_cost,utility,7550596
A02202603001,U1002,2026-03-24T09:00:00,in,Freelancer,2800000,income,salary,10283958
A01202603001,U1001,2026-03-25T09:00:00,in,Office Worker,3200000,income,salary,12216062
A04202603001,U1004,2026-03-25T09:00:00,in,Manager,5100000,income,salary,17544141
A05202603002,U1005,2026-03-25T09:00:00,in,Designer,3500000,income,salary,9034149
A06202603001,U1006,2026-03-25T09:00:00,in,Engineer,4300000,income,salary,13388161
A07202603001,U1007,2026-03-25T09:00:00,in,Teacher,3000000,income,salary,10510635
A08202603001,U1008,2026-03-25T09:00:00,in,Startup Operator,3900000,income,salary,11626479
A02202603002,U1002,2026-03-25T09:10:00,out,Home Owner,700000,fixed_cost,rent,9583958
A01202603002,U1001,2026-03-26T09:10:00,out,Home Owner,850000,fixed_cost,rent,11366062
A04202603002,U1004,2026-03-26T09:10:00,out,Home Owner,0,fixed_cost,rent,17544141
A05202603003,U1005,2026-03-26T09:10:00,out,Home Owner,930000,fixed_cost,rent,8104149
A06202603002,U1006,2026-03-26T09:10:00,out,Home Owner,1100000,fixed_cost,rent,12288161
A07202603002,U1007,2026-03-26T09:10:00,out,Home Owner,780000,fixed_cost,rent,9730635
A08202603002,U1008,2026-03-26T09:10:00,out,Home Owner,990000,fixed_cost,rent,10636479
A02202603003,U1002,2026-03-26T10:10:00,out,Mobile Carrier,50000,fixed_cost,telecom,9533958
A02202603004,U1002,2026-03-27T08:40:00,out,Utility Office,32000,fixed_cost,utility,9501958
A01202603003,U1001,2026-03-27T10:10:00,out,Mobile Carrier,65000,fixed_cost,telecom,11301062
A04202603003,U1004,2026-03-27T10:10:00,out,Mobile Carrier,89000,fixed_cost,telecom,17455141
A05202603004,U1005,2026-03-27T10:10:00,out,Mobile Carrier,62000,fixed_cost,telecom,8042149
A06202603003,U1006,2026-03-27T10:10:00,out,Mobile Carrier,59000,fixed_cost,telecom,12229161
A07202603003,U1007,2026-03-27T10:10:00,out,Mobile Carrier,54000,fixed_cost,telecom,9676635
A08202603003,U1008,2026-03-27T10:10:00,out,Mobile Carrier,61000,fixed_cost,telecom,10575479
A01202603004,U1001,2026-03-28T08:40:00,out,Utility Office,42000,fixed_cost,utility,11259062
A04202603004,U1004,2026-03-28T08:40:00,out,Utility Office,71000,fixed_cost,utility,17384141
A05202603005,U1005,2026-03-28T08:40:00,out,Utility Office,44000,fixed_cost,utility,7998149
A06202603004,U1006,2026-03-28T08:40:00,out,Utility Office,51000,fixed_cost,utility,12178161
A07202603004,U1007,2026-03-28T08:40:00,out,Utility Office,36000,fixed_cost,utility,9640635
A08202603004,U1008,2026-03-28T08:40:00,out,Utility Office,47000,fixed_cost,utility,10528479
A02202603005,U1002,2026-03-28T09:20:00,out,Insurance Co,48000,fixed_cost,insurance,9453958
A04202603005,U1004,2026-03-29T09:20:00,out,Insurance Co,220000,fixed_cost,insurance,17164141
A05202603006,U1005,2026-03-29T09:20:00,out,Insurance Co,71000,fixed_cost,insurance,7927149
A06202603005,U1006,2026-03-29T09:20:00,out,Insurance Co,96000,fixed_cost,insurance,12082161
A07202603005,U1007,2026-03-29T09:20:00,out,Insurance Co,58000,fixed_cost,insurance,9582635
A01202603005,U1001,2026-03-31T09:05:00,out,Main Card,198300,card_bill,card_payment,11060762
A02202603006,U1002,2026-03-31T09:05:00,out,Main Card,1029620,card_bill,card_payment,8424338
A03202603005,U1003,2026-03-31T09:05:00,out,Main Card,491201,card_bill,card_payment,7059395
A04202603006,U1004,2026-03-31T09:05:00,out,Main Card,2886048,card_bill,card_payment,14278093
A05202603007,U1005,2026-03-31T09:05:00,out,Main Card,1663557,card_bill,card_payment,6263592
A06202603006,U1006,2026-03-31T09:05:00,out,Main Card,2283395,card_bill,card_payment,9798766
A07202603006,U1007,2026-03-31T09:05:00,out,Main Card,756362,card_bill,card_payment,8826273
A08202603005,U1008,2026-03-31T09:05:00,out,Main Card,1075408,card_bill,card_payment,9453071
